symbol,type,ath,date
bitcoin,crypto,126198.1,10/05/2025
ethereum,crypto,4953.73,08/24/2025
solana,crypto,294.33,01/19/2025
ripple,crypto,3.84,01/13/2018
cardano,crypto,3.1,09/02/2021
dogecoin,crypto,0.7375,05/08/2021
shiba-inu,crypto,8.845e-05,10/28/2021
pepe,crypto,2.824e-05,12/09/2024
paxg,crypto,2855.83,04/13/2024
NVDA,stock,235.74,05/14/2026
AMD,stock,584.73,06/30/2026
INTC,stock,142.35,06/30/2026
MSTR,stock,457.22,1/1/2025
ORCL,stock,345.72,09/10/2025
AI,stock,30.11,1/1/2025
GTLB,stock,52.38,11/03/2025
TEM,stock,104.32,11/09/2025
CGNX,stock,101.82,02/12/2021
SNOW,stock,280.1600036621094,06/01/2026
DDOG,stock,278.7,06/01/2026
IPGP,stock,155.82,1/1/2026
MU,stock,1213.56,06/25/2026
ASX,stock,45.32,06/30/2026
AMKR,stock,96.29,06/22/2026
ANET,stock,186.9600067138672,07/10/2026
WDC,stock,799.87,06/18/2026
AVGO,stock,495.0,06/03/2026
MRVL,stock,329.88,06/18/2026
KEYS,stock,373.34,06/22/2026
SNDK,stock,2348.0,06/25/2026
CSCO,stock,130.37,06/04/2026
QCOM,stock,259.92,05/29/2026
ARM,stock,439.46,06/18/2026
